INFO 2021-07-31 23:58:40,300 - Loading data from dvc
INFO 2021-08-01 00:04:45,568 - Regression algorithm: DecisionTreeRegressor
INFO 2021-08-01 00:04:45,575 - Train RMSE: 105.94869640760602
INFO 2021-08-01 00:04:45,582 - Test RMSE: 1222.6098854750685
INFO 2021-08-01 00:06:06,697 - Regression algorithm: LinearRegression
INFO 2021-08-01 00:06:06,706 - Train RMSE: 2508.251324525623
INFO 2021-08-01 00:06:06,710 - Test RMSE: 2497.660038032195
INFO 2021-08-01 00:14:48,016 - Regression algorithm: DecisionTreeRegressor
INFO 2021-08-01 00:14:48,021 - Train RMSE: 105.94869640760602
INFO 2021-08-01 00:14:48,026 - Test RMSE: 1221.5112539934275
INFO 2021-08-01 00:14:48,029 - score: 0.8990179244158287
INFO 2021-08-01 00:15:50,387 - Regression algorithm: LinearRegression
INFO 2021-08-01 00:15:52,647 - Train RMSE: 2508.251324525623
INFO 2021-08-01 00:15:52,649 - Test RMSE: 2497.660038032195
INFO 2021-08-01 00:15:52,653 - score: 0.5778021684504105
